,initial,final,next_label
0,0,97,5
1,158,202,6
2,401,409,0
3,418,483,6
4,490,497,6
5,629,629,0
6,638,697,5
7,741,749,0
8,758,821,6
9,830,837,6
10,1058,1069,0
11,1078,1139,6
12,1150,1157,6
13,1359,1369,0
14,1378,1425,6
15,1430,1437,6
16,1582,1589,0
17,1598,1640,6
18,1650,1657,6
19,1904,1909,0
20,1918,1957,6
21,1970,1972,6
22,1978,1997,6
23,2010,2017,6
24,2208,2209,0
25,2218,2277,5
26,2418,2429,0
27,2434,2464,5
28,2470,2477,5
29,2578,2589,0
30,2595,2757,6
31,2770,2776,6
32,2978,2989,0
33,2994,3037,6
34,3050,3054,6
35,3148,3149,0
36,3158,3198,6
37,3210,3217,6
38,3422,3429,0
39,3438,3467,6
40,3470,3477,6
41,3584,3589,0
42,3598,3640,6
43,3650,3657,6
44,3847,3849,0
45,3858,3903,6
46,3910,3917,6
47,3998,4009,0
48,4016,4037,5
49,4098,4109,0
50,4117,4237,6
51,4250,4254,6
52,4478,4520,6
53,4530,4537,5
54,4641,4649,0
55,4658,4737,6
56,4750,4750,6
57,4985,4989,0
58,4998,5039,5
59,5050,5057,5
60,5108,5109,3
61,5118,5157,6
62,5170,5176,6
63,5278,5289,0
64,5295,5318,6
65,5330,5337,6
66,5461,5469,0
67,5478,5504,6
68,5510,5517,5
69,5581,5589,0
70,5598,5626,6
71,5630,5637,6
72,5938,5949,0
73,5954,6017,5
74,6027,6036,5
75,6038,6057,5
76,6070,6070,5
77,6078,6089,5
78,6096,6165,6
79,6170,6177,6
80,6242,6249,0
81,6258,6297,6
82,6310,6313,6
83,6378,6389,3
84,6391,6437,6
85,6450,6455,6
86,6601,6609,0
87,6618,6737,6
88,6750,6757,6
89,7106,7106,3
90,7108,7108,3
91,7134,7134,0
92,7143,7149,0
93,7158,7197,6
94,7210,7217,5
95,7282,7289,0
96,7298,7320,6
97,7330,7337,6
98,7498,7509,0
99,7514,7537,6
100,7550,7554,6
101,7688,7689,0
102,7698,7737,6
103,7750,7754,6
104,7939,7949,0
105,7958,7983,6
106,7990,7997,6
107,8258,8269,0
108,8271,8297,6
109,8310,8317,6
110,8439,8449,0
111,8458,8481,6
112,8490,8497,6
113,8658,8669,0
114,8676,8717,6
115,8901,8909,0
116,8918,8947,6
117,8950,8957,6
118,9118,9129,0
119,9137,9165,6
120,9170,9177,5
121,9303,9309,0
122,9318,9364,6
123,9370,9377,6
124,9658,9669,0
125,9675,9717,6
126,9730,9731,6
127,9842,9849,0
128,9858,9883,6
129,9890,9897,6
130,9938,9949,0
131,9952,9980,6
132,9990,9997,6
133,10161,10169,0
134,10178,10221,6
135,10230,10237,6
136,10438,10449,0
137,10457,10505,6
138,10510,10517,6
139,10626,10629,0
140,10638,10677,6
141,10690,10691,6
142,10858,10869,0
143,10874,10905,6
144,10910,10917,6
145,10998,11009,0
146,11013,11102,0
147,11107,11225,1
148,11230,11237,0
149,11260,11269,0
150,11278,11357,6
151,11478,11489,0
152,11495,11525,6
153,11530,11537,6
154,11698,11737,6
155,11750,11756,6
156,11903,11909,0
157,11918,11957,6
158,11970,11972,6
159,12158,12169,0
160,12171,12205,6
161,12210,12217,6
162,12358,12369,0
163,12374,12397,6
164,12410,12414,6
165,12568,12569,0
166,12578,12617,6
167,12630,12636,6
168,12765,12769,0
169,12778,12808,6
170,12810,12817,6
171,12938,12949,0
172,12951,12977,6
173,13125,13129,0
174,13138,13177,6
175,13190,13190,6
176,13358,13369,0
177,13376,13401,6
178,13410,13417,6
179,13558,13569,0
180,13573,13597,5
181,13610,13610,6
182,13738,13777,5
183,13943,13949,0
184,13958,13987,6
185,13990,13997,5
186,14144,14149,0
187,14158,14186,6
188,14190,14197,6
189,14406,14409,0
190,14418,14477,5
191,14490,14492,5
192,14525,14529,0
193,14538,14677,6
194,14690,14696,6
195,14758,14769,0
196,14775,14864,6
197,14870,14877,6
198,14946,14949,0
199,14958,14998,6
200,15010,15017,6
201,15083,15089,0
202,15098,15124,6
203,15130,15137,6
204,15442,15449,0
205,15458,15639,6
206,15650,15657,6
207,15700,15709,0
208,15718,15797,6
209,15810,15812,6
210,16003,16009,0
211,16018,16077,6
