,initial,final,next_label
0,328,329,2
1,338,349,2
2,353,357,2
3,363,363,2
4,365,370,2
5,372,372,2
6,390,396,0
7,598,604,0
8,612,617,0
9,2329,2329,3
10,2338,2377,3
11,2390,2395,3
12,2502,2506,3
13,2525,2525,3
14,2528,2529,3
15,2540,2550,3
16,4064,4069,5
17,4090,4096,0
18,5382,5389,3
19,5398,5437,0
20,5450,5454,0
21,5885,5889,2
22,5898,5904,0
23,5910,5917,0
24,9021,9029,3
25,9038,9097,0
26,10038,10049,3
27,10054,10077,2
28,10125,10129,2
29,10138,10143,0
30,10150,10157,0
31,11226,11229,4
32,11250,11257,0
33,11587,11589,3
34,11598,11637,2
35,11650,11656,2
36,11868,11869,3
37,11890,11891,0
38,12278,12337,0
39,12350,12354,3
40,12458,12469,3
41,12471,12517,3
42,12530,12530,3
43,12678,12686,3
44,12690,12697,3
45,12878,12889,3
46,12891,12917,0
47,12930,12931,0
48,13024,13029,5
49,13038,13104,3
50,13110,13117,0
51,13486,13489,3
52,13498,13521,3
53,13530,13537,0
54,13647,13649,3
55,13658,13697,3
56,13710,13711,3
57,13838,13849,3
58,13851,13917,0
59,13930,13935,0
60,14298,14309,3
61,14311,14382,0
62,14390,14397,0
63,14498,14508,0
64,14516,14517,0
65,15218,15229,3
66,15237,15406,0
67,15410,15417,0
68,15898,15909,3
69,15916,15980,0
70,15990,15997,0
71,16418,16429,3
72,16435,16519,0
73,16530,16537,0
74,16669,16669,3
75,16678,16708,0
76,16710,16717,0
77,16821,16829,3
78,16838,16857,0
79,16870,16875,0
80,16978,16989,3
81,16994,17037,3
82,17050,17053,3
83,17198,17209,3
84,17217,17317,0
85,17330,17330,0
86,17718,17729,3
87,17738,17797,0
88,17810,17811,0
89,18258,18269,3
90,18273,18406,0
91,18410,18417,0
92,19138,19149,3
93,19157,19157,0
94,19170,19176,0
95,19298,19309,3
96,19311,19321,3
97,19330,19337,3
98,19478,19537,0
99,19550,19557,0
100,19678,19689,3
101,19693,19742,3
102,19750,19757,0
103,19878,19889,3
104,19893,19944,0
105,19950,19957,0
106,20098,20109,3
107,20117,20177,0
108,20502,20509,3
109,20518,20557,0
110,20570,20577,0
111,20698,20709,3
112,20711,20808,0
113,20810,20817,0
114,20925,20929,3
115,20938,20997,0
116,21010,21016,0
117,21104,21109,3
118,21118,21237,0
119,21250,21253,0
120,21279,21289,4
121,21298,21337,0
122,21350,21355,0
123,21458,21469,3
124,21474,21497,0
125,21510,21511,0
126,21618,21629,3
127,21636,21657,0
128,21670,21676,0
129,21778,21789,3
130,21794,21923,0
131,21930,21937,0
132,22058,22069,3
133,22071,22160,0
134,22170,22177,0
135,22278,22417,0
136,22658,22669,3
137,22673,22703,0
138,22710,22717,0
139,22849,22849,3
140,22858,22917,0
141,22930,22931,0
142,23018,23029,3
143,23038,23117,0
144,23221,23229,3
145,23238,23366,0
146,23370,23377,0
147,23498,23509,3
148,23518,23584,0
149,23590,23597,0
150,23661,23669,4
151,23678,23681,4
152,23690,23697,4
153,23820,23829,3
154,23838,23905,0
155,23910,23917,0
156,24042,24049,3
157,24058,24117,0
158,24130,24133,0
159,24238,24249,3
160,24253,24337,0
161,24350,24351,0
162,24583,24589,3
163,24598,24637,0
164,24650,24655,0
